s	label	mindatid
gsmin:arrojadite-srfe	Arrojadite-(SrFe)	28889
gsmin:arsenbrackebuschite	Arsenbrackebuschite	6807
gsmin:arsendescloizite	Arsendescloizite	356
gsmin:arsenic	Arsenic	357
gsmin:arseniopleite	Arseniopleite	359
gsmin:arseniosiderite	Arseniosiderite	360
gsmin:arsenoclasite	Arsenoclasite	364
gsmin:arsenocrandallite	Arsenocrandallite	365
gsmin:arsenoflorencite-ce	Arsenoflorencite-(Ce)	366
gsmin:arsenoflorencite-la	Arsenoflorencite-(La)	295
gsmin:arsenogorceixite	Arsenogorceixite	304
gsmin:arsenogoyazite	Arsenogoyazite	292
gsmin:arsenohauchecornite	Arsenohauchecornite	301
gsmin:arsenohopeite	Arsenohopeite	41153
gsmin:arsenolamprite	Arsenolamprite	312
gsmin:arsenolite	Arsenolite	294
gsmin:arsenopalladinite	Arsenopalladinite	303
gsmin:arsenopyrite	Arsenopyrite	305
gsmin:arsentsumebite	Arsentsumebite	372
gsmin:arsenuranospathite	Arsenuranospathite	373
gsmin:arsenuranylite	Arsenuranylite	374
gsmin:arthurite	Arthurite	376
gsmin:artinite	Artinite	377
gsmin:artroeite	Artroeite	378
gsmin:artsmithite	Artsmithite	26878
gsmin:arupite	Arupite	379
gsmin:asbecasite	Asbecasite	382
gsmin:asbolane	Asbolane	384
gsmin:aschamalmite	Aschamalmite	386
gsmin:ashburtonite	Ashburtonite	388
gsmin:ashcroftine-y	Ashcroftine-(Y)	389
gsmin:ashoverite	Ashoverite	453
gsmin:asisite	Asisite	391
gsmin:aspedamite	Aspedamite	42356
gsmin:aspidolite	Aspidolite	396
gsmin:asselbornite	Asselbornite	397
gsmin:astrocyanite-ce	Astrocyanite-(Ce)	404
gsmin:astrophyllite	Astrophyllite	405
gsmin:atacamite	Atacamite	406
gsmin:atelestite	Atelestite	407
gsmin:atelisite-y	Atelisite-(Y)	42350
gsmin:atencioite	Atencioite	27433
gsmin:athabascaite	Athabascaite	408
gsmin:atheneite	Atheneite	409
gsmin:atlasovite	Atlasovite	412
gsmin:atokite	Atokite	413
gsmin:attakolite	Attakolite	415
gsmin:attikaite	Attikaite	30778
gsmin:aubertite	Aubertite	416
gsmin:augelite	Augelite	451
gsmin:augite	Augite	419
gsmin:auriacusite	Auriacusite	39638
gsmin:aurichalcite	Aurichalcite	422
gsmin:auricupride	Auricupride	423
gsmin:aurivilliusite	Aurivilliusite	26525
gsmin:aurorite	Aurorite	428
gsmin:aurostibite	Aurostibite	430
gsmin:austinite	Austinite	432
gsmin:autunite	Autunite	433
gsmin:avdoninite	Avdoninite	27388
gsmin:averievite	Averievite	6811
gsmin:avicennite	Avicennite	437
gsmin:avogadrite	Avogadrite	438
gsmin:awaruite	Awaruite	439
gsmin:axinite-fe	Axinite-(Fe)	439
gsmin:axinite-mg	Axinite-(Mg)	2490
gsmin:axinite-mn	Axinite-(Mn)	2502
gsmin:azoproite	Azoproite	442
gsmin:azurite	Azurite	447
gsmin:babefphite	Babefphite	447
gsmin:babingtonite	Babingtonite	478
gsmin:babkinite	Babkinite	6812
gsmin:babanekite	Babánekite	447
gsmin:baddeleyite	Baddeleyite	480
gsmin:bafertisite	Bafertisite	482
gsmin:baghdadite	Baghdadite	483
gsmin:bahianite	Bahianite	484
gsmin:baileychlore	Baileychlore	488
gsmin:bairdite	Bairdite	43583
gsmin:bakhchisaraitsevite	Bakhchisaraitsevite	7074
gsmin:baksanite	Baksanite	6814
gsmin:balangeroite	Balangeroite	492
gsmin:balipholite	Balipholite	495
gsmin:balkanite	Balkanite	496
gsmin:balliranoite	Balliranoite	39332
gsmin:balyakinite	Balyakinite	501
gsmin:bambollaite	Bambollaite	502
gsmin:bamfordite	Bamfordite	6815
gsmin:banalsite	Banalsite	504
gsmin:bandylite	Bandylite	506
gsmin:bannermanite	Bannermanite	508
gsmin:bannisterite	Bannisterite	509
gsmin:baotite	Baotite	510
gsmin:barahonaite-fe	Barahonaite-(Fe)	32159
gsmin:bararite	Bararite	511
gsmin:baratovite	Baratovite	512
gsmin:barberiite	Barberiite	513
gsmin:barbosalite	Barbosalite	516
gsmin:barentsite	Barentsite	520
gsmin:bariandite	Bariandite	522
gsmin:baricite	Baricite	524
gsmin:barikaite	Barikaite	43578
gsmin:bario-olgite	Bario-olgite	26520
