s	label	mindatid
gsmin:florencite-la	Florencite-(La)	1561
gsmin:florencite-nd	Florencite-(Nd)	1562
gsmin:florencite-sm	Florencite-(Sm)	42495
gsmin:florensovite	Florensovite	1563
gsmin:fluckite	Fluckite	1564
gsmin:fluellite	Fluellite	1565
gsmin:fluoborite	Fluoborite	1566
gsmin:fluocerite-la	Fluocerite-(La)	1568
gsmin:fluor-buergerite	Fluor-buergerite	818
gsmin:fluor-dravite	Fluor-dravite	39892
gsmin:fluor-elbaite	Fluor-elbaite	39706
gsmin:fluor-liddicoatite	Fluor-liddicoatite	41296
gsmin:fluor-schorl	Fluor-schorl	29118
gsmin:fluor-tsilaisite	Fluor-tsilaisite	43353
gsmin:fluor-uvite	Fluor-uvite	4126
gsmin:fluorannite	Fluorannite	10333
gsmin:fluorapatite	Fluorapatite	1572
gsmin:fluorbritholite-y	Fluorbritholite-(Y)	39556
gsmin:fluorcalciobritholite	Fluorcalciobritholite	29138
gsmin:fluorcalciomicrolite	Fluorcalciomicrolite	40354
gsmin:fluorcanasite	Fluorcanasite	32288
gsmin:fluorcaphite	Fluorcaphite	6948
gsmin:fluorchegemite	Fluorchegemite	42739
gsmin:fluorellestadite	Fluorellestadite	1575
gsmin:fluorite	Fluorite	1576
gsmin:fluornatromicrolite	Fluornatromicrolite	7047
gsmin:fluoro-edenite	Fluoro-edenite	6950
gsmin:fluorocronite	Fluorocronite	40179
gsmin:fluorokinoshitalite	Fluorokinoshitalite	32667
gsmin:fluorophlogopite	Fluorophlogopite	29139
gsmin:fluorotetraferriphlogopite	Fluorotetraferriphlogopite	40156
gsmin:fluorowardite	Fluorowardite	42790
gsmin:fluorphosphohedyphane	Fluorphosphohedyphane	39334
gsmin:fluorstrophite	Fluorstrophite	3757
gsmin:fluorvesuvianite	Fluorvesuvianite	25683
gsmin:florkeite	Flörkeite	38900
gsmin:foggite	Foggite	1578
gsmin:foitite	Foitite	1579
gsmin:fontanite	Fontanite	1580
gsmin:foordite	Foordite	1581
gsmin:footemineite	Footemineite	30765
gsmin:formanite-y	Formanite-(Y)	1582
gsmin:formicaite	Formicaite	6954
gsmin:fornacite	Fornacite	1583
gsmin:forsterite	Forsterite	1584
gsmin:foretite	Forêtite	42728
gsmin:foshagite	Foshagite	1585
gsmin:fougerite	Fougèrite	27543
gsmin:fourmarierite	Fourmarierite	1587
gsmin:fraipontite	Fraipontite	1588
gsmin:francevillite	Francevillite	1589
gsmin:franciscanite	Franciscanite	1590
gsmin:francisite	Francisite	1591
gsmin:franckeite	Franckeite	1592
gsmin:francoanellite	Francoanellite	1593
gsmin:franconite	Franconite	1595
gsmin:frankamenite	Frankamenite	6957
gsmin:frankdicksonite	Frankdicksonite	1596
gsmin:frankhawthorneite	Frankhawthorneite	6958
gsmin:franklinfurnaceite	Franklinfurnaceite	1597
gsmin:franklinite	Franklinite	1598
gsmin:franklinphilite	Franklinphilite	1599
gsmin:fransoletite	Fransoletite	1600
gsmin:franzinite	Franzinite	1601
gsmin:francoisite-ce	Françoisite-(Ce)	27480
gsmin:francoisite-nd	Françoisite-(Nd)	1594
gsmin:freboldite	Freboldite	1602
gsmin:fredrikssonite	Fredrikssonite	1603
gsmin:freedite	Freedite	1604
gsmin:freibergite	Freibergite	1605
gsmin:freieslebenite	Freieslebenite	1606
gsmin:fresnoite	Fresnoite	1607
gsmin:freudenbergite	Freudenbergite	1608
gsmin:friedelite	Friedelite	1609
gsmin:friedrichbeckeite	Friedrichbeckeite	38698
gsmin:friedrichite	Friedrichite	1610
gsmin:fritzscheite	Fritzscheite	1611
gsmin:frohbergite	Frohbergite	1612
gsmin:frolovite	Frolovite	1613
gsmin:frondelite	Frondelite	1614
gsmin:froodite	Froodite	1615
gsmin:fuenzalidaite	Fuenzalidaite	1618
gsmin:fuettererite	Fuettererite	42738
gsmin:fukalite	Fukalite	1619
gsmin:fukuchilite	Fukuchilite	1620
gsmin:furongite	Furongite	1621
gsmin:furutobeite	Furutobeite	1622
gsmin:fuloppite	Fülöppite	1559
gsmin:gabrielite	Gabrielite	26386
gsmin:gabrielsonite	Gabrielsonite	1626
gsmin:gadolinite-y	Gadolinite-(Y)	1628
gsmin:gagarinite-y	Gagarinite-(Y)	1629
gsmin:gageite	Gageite	1631
gsmin:gahnite	Gahnite	1632
gsmin:gaidonnayite	Gaidonnayite	1634
gsmin:gainesite	Gainesite	1635
gsmin:gaitite	Gaitite	1636
gsmin:galaxite	Galaxite	1639
gsmin:galeite	Galeite	1640
gsmin:galena	Galena	1641
gsmin:galenobismutite	Galenobismutite	1642
gsmin:galgenbergite-ce	Galgenbergite-(Ce)	11209
gsmin:galkhaite	Galkhaite	1643
gsmin:galliskiite	Galliskiite	39639
gsmin:gallite	Gallite	1644
gsmin:gallobeudantite	Gallobeudantite	6962
gsmin:galloplumbogummite	Galloplumbogummite	43325
gsmin:galuskinite	Galuskinite	41778
gsmin:gamagarite	Gamagarite	1645
gsmin:gananite	Gananite	1646
gsmin:ganomalite	Ganomalite	1647
gsmin:ganophyllite	Ganophyllite	1649
gsmin:ganterite	Ganterite	25676
gsmin:gaotaiite	Gaotaiite	6963
gsmin:garavellite	Garavellite	1650
gsmin:garnetgroup	Garnet	10272
gsmin:garrelsite	Garrelsite	1652
gsmin:gartrellite	Gartrellite	1654
gsmin:garutiite	Garutiite	39301
gsmin:garyansellite	Garyansellite	1655
gsmin:gasparite-ce	Gasparite-(Ce)	1656
gsmin:gaspeite	Gaspéite	1657
gsmin:gatehouseite	Gatehouseite	6966
gsmin:gatelite-ce	Gatelite-(Ce)	27350
gsmin:gatumbaite	Gatumbaite	1659
gsmin:gaudefroyite	Gaudefroyite	1660
gsmin:gaultite	Gaultite	1661
gsmin:gayite	Gayite	39302
gsmin:gaylussite	Gaylussite	1662
gsmin:gearksutite	Gearksutite	1663
gsmin:gebhardite	Gebhardite	1664
gsmin:gedrite	Gedrite	1665
gsmin:geerite	Geerite	1666
gsmin:geffroyite	Geffroyite	1667
gsmin:gehlenite	Gehlenite	1668
gsmin:geigerite	Geigerite	1669
gsmin:geikielite	Geikielite	1670
gsmin:gelosaite	Gelosaite	39660
gsmin:geminite	Geminite	1671
gsmin:gengenbachite	Gengenbachite	29254
gsmin:genkinite	Genkinite	1672
gsmin:genthelvite	Genthelvite	1673
gsmin:geocronite	Geocronite	1674
gsmin:georgbarsanovite	Georgbarsanovite	27506
gsmin:georgbokiite	Georgbokiite	6967
gsmin:george-ericksenite	George-ericksenite	6968
gsmin:georgechaoite	Georgechaoite	1675
gsmin:georgeite	Georgeite	1676
gsmin:georgerobinsonite	Georgerobinsonite	39765
gsmin:georgiadesite	Georgiadesite	1677
gsmin:gerasimovskite	Gerasimovskite	1678
gsmin:gerdtremmelite	Gerdtremmelite	1679
gsmin:gerenite-y	Gerenite-(Y)	6969
gsmin:gerhardtite	Gerhardtite	1680
gsmin:germanite	Germanite	1681
gsmin:germanocolusite	Germanocolusite	1682
gsmin:gerstleyite	Gerstleyite	1684
gsmin:gerstmannite	Gerstmannite	1685
gsmin:getchellite	Getchellite	1686
gsmin:geversite	Geversite	1687
gsmin:gianellaite	Gianellaite	1688
gsmin:gibbsite	Gibbsite	1689
gsmin:giessenite	Giessenite	1690
gsmin:gilalite	Gilalite	1691
gsmin:gillardite	Gillardite	31405
gsmin:gillespite	Gillespite	1693
gsmin:gillulyite	Gillulyite	1694
gsmin:gilmarite	Gilmarite	6970
gsmin:giniite	Giniite	1695
gsmin:ginorite	Ginorite	1696
gsmin:giorgiosite	Giorgiosite	1697
gsmin:giraudite	Giraudite	1698
gsmin:girvasite	Girvasite	1700
gsmin:gismondine	Gismondine	1701
gsmin:gittinsite	Gittinsite	1702
gsmin:giuseppettite	Giuseppettite	1703
gsmin:gjerdingenite-fe	Gjerdingenite-Fe	11458
gsmin:gjerdingenite-mn	Gjerdingenite-Mn	26442
gsmin:gjerdingenite-na	Gjerdingenite-Na	28945
gsmin:gladite	Gladite	1705
gsmin:gladiusite	Gladiusite	11032
gsmin:glagolevite	Glagolevite	28914
gsmin:glauberite	Glauberite	1706
gsmin:glaucocerinite	Glaucocerinite	1707
gsmin:glaucochroite	Glaucochroite	1708
gsmin:glaucodot	Glaucodot	1709
gsmin:glaucophane	Glaucophane	1704
gsmin:glaukosphaerite	Glaukosphaerite	1711
gsmin:glushinskite	Glushinskite	1713
gsmin:gmelinite-k	Gmelinite-K	6972
gsmin:gmelinite-na	Gmelinite-Na	6973
gsmin:gobbinsite	Gobbinsite	1715
gsmin:godlevskite	Godlevskite	1716
gsmin:godovikovite	Godovikovite	1717
gsmin:goedkenite	Goedkenite	1718
gsmin:goethite	Goethite	1719
gsmin:gold	Gold	1720
gsmin:goldfieldite	Goldfieldite	1721
gsmin:goldichite	Goldichite	1722
gsmin:goldmanite	Goldmanite	1723
gsmin:goldquarryite	Goldquarryite	25588
gsmin:golyshevite	Golyshevite	27418
gsmin:gonnardite	Gonnardite	1724
gsmin:gonyerite	Gonyerite	1725
gsmin:goosecreekite	Goosecreekite	1726
gsmin:gorceixite	Gorceixite	1727
gsmin:gordaite	Gordaite	6975
gsmin:gordonite	Gordonite	1728
gsmin:gormanite	Gormanite	1729
gsmin:gortdrumite	Gortdrumite	1730
gsmin:goslarite	Goslarite	1731
gsmin:gottardiite	Gottardiite	6976
gsmin:gottlobite	Gottlobite	7069
gsmin:goudeyite	Goudeyite	1732
gsmin:gowerite	Gowerite	1733
gsmin:goyazite	Goyazite	1787
gsmin:graemite	Graemite	1734
gsmin:graeserite	Graeserite	6977
gsmin:graftonite	Graftonite	1735
gsmin:gramaccioliite-y	Gramaccioliite-(Y)	26445
gsmin:grandidierite	Grandidierite	1737
gsmin:grandreefite	Grandreefite	1738
gsmin:grandviewite	Grandviewite	31588
gsmin:grantsite	Grantsite	1739
gsmin:graphite	Graphite	1740
gsmin:gratonite	Gratonite	1741
gsmin:grattarolaite	Grattarolaite	6978
gsmin:graulichite-ce	Graulichite-(Ce)	11383
gsmin:gravegliaite	Gravegliaite	1742
gsmin:grayite	Grayite	1743
gsmin:grechishchevite	Grechishchevite	1744
gsmin:greenalite	Greenalite	1745
gsmin:greenockite	Greenockite	1746
gsmin:greenwoodite	Greenwoodite	40146
gsmin:gregoryite	Gregoryite	6979
gsmin:greifensteinite	Greifensteinite	11356
gsmin:greigite	Greigite	1747
gsmin:grenmarite	Grenmarite	27516
gsmin:griceite	Griceite	1749
gsmin:grimaldiite	Grimaldiite	1750
gsmin:grimselite	Grimselite	1751
gsmin:griphite	Griphite	1752
gsmin:grischunite	Grischunite	1753
gsmin:groatite	Groatite	39288
gsmin:grossite	Grossite	1754
gsmin:grossular	Grossular	1755
gsmin:groutite	Groutite	1756
gsmin:grumantite	Grumantite	1757
gsmin:grumiplucite	Grumiplucite	6981
gsmin:grunerite	Grunerite	1758
gsmin:gruzdevite	Gruzdevite	1759
gsmin:guanacoite	Guanacoite	11511
gsmin:guanajuatite	Guanajuatite	1761
gsmin:guanine	Guanine	1763
gsmin:guarinoite	Guarinoite	1765
gsmin:gudmundite	Gudmundite	1766
gsmin:guettardite	Guettardite	1768
gsmin:gugiaite	Gugiaite	1769
gsmin:guidottiite	Guidottiite	39763
gsmin:guildite	Guildite	1770
gsmin:guilleminite	Guilleminite	1771
gsmin:guimaraesite	Guimarãesite	30764
gsmin:gunningite	Gunningite	1778
gsmin:gunterite	Gunterite	42440
gsmin:gupeiite	Gupeiite	1780
gsmin:gustavite	Gustavite	1782
gsmin:gutkovaite-mn	Gutkovaite-Mn	29087
gsmin:guyanaite	Guyanaite	1783
gsmin:guerinite	Guérinite	1767
gsmin:gwihabaite	Gwihabaite	6983
gsmin:gypsum	Gypsum	1784
gsmin:gyrolite	Gyrolite	1785
gsmin:gysinite-nd	Gysinite-(Nd)	1786
gsmin:gorgeyite	Görgeyite	1748
gsmin:gotzenite	Götzenite	1760
gsmin:gunterblassite	Günterblassite	41771
gsmin:haapalaite	Haapalaite	1788
gsmin:hafnon	Hafnon	1792
gsmin:hagendorfite	Hagendorfite	1795
gsmin:haggertyite	Haggertyite	6984
gsmin:haidingerite	Haidingerite	1797
gsmin:haigerachite	Haigerachite	6985
gsmin:haineaultite	Haineaultite	25707
gsmin:haiweeite	Haiweeite	1802
gsmin:hakite	Hakite	1803
gsmin:halite	Halite	1804
gsmin:hallimondite	Hallimondite	1807
gsmin:halloysite	Halloysite	1808
gsmin:halloysite-10a	Halloysite-10Å	10409
gsmin:halloysite-7a	Halloysite-7Å	1808
gsmin:halotrichite	Halotrichite	1809
gsmin:halurgite	Halurgite	1810
gsmin:hambergite	Hambergite	1811
gsmin:hammarite	Hammarite	1812
gsmin:hanawaltite	Hanawaltite	1813
gsmin:hanjiangite	Hanjiangite	43085
gsmin:hanksite	Hanksite	1815
gsmin:hannayite	Hannayite	1816
gsmin:hannebachite	Hannebachite	1997
gsmin:haradaite	Haradaite	1817
gsmin:hardystonite	Hardystonite	1818
gsmin:harkerite	Harkerite	1819
gsmin:harmotome	Harmotome	1820
gsmin:harrisonite	Harrisonite	1821
gsmin:harstigite	Harstigite	1822
gsmin:hartite	Hartite	25689
gsmin:hashemite	Hashemite	1823
gsmin:hastingsite	Hastingsite	1824
gsmin:hatchite	Hatchite	1827
gsmin:hatrurite	Hatrurite	1828
gsmin:hauchecornite	Hauchecornite	1829
gsmin:hauckite	Hauckite	1830
gsmin:hauerite	Hauerite	1831
gsmin:hausmannite	Hausmannite	1832
gsmin:hawleyite	Hawleyite	1834
gsmin:hawthorneite	Hawthorneite	1835
gsmin:haxonite	Haxonite	1836
gsmin:haycockite	Haycockite	1837
gsmin:haydeeite	Haydeeite	31500
gsmin:haynesite	Haynesite	1838
gsmin:hazenite	Hazenite	38992
gsmin:hauyne	Haüyne	1833
gsmin:heazlewoodite	Heazlewoodite	1839
gsmin:hechtsbergite	Hechtsbergite	6986
gsmin:hectorfloresite	Hectorfloresite	1840
gsmin:hectorite	Hectorite	1841
gsmin:hedenbergite	Hedenbergite	1842
gsmin:hedleyite	Hedleyite	1843
gsmin:hedyphane	Hedyphane	1844
gsmin:heftetjernite	Heftetjernite	38788
gsmin:heidornite	Heidornite	1846
gsmin:heinrichite	Heinrichite	1848
gsmin:heisenbergite	Heisenbergite	42635
gsmin:hejtmanite	Hejtmanite	1849
gsmin:heklaite	Heklaite	39218
gsmin:heliophyllite	Heliophyllite	1850
gsmin:hellandite-y	Hellandite-(Y)	1852
gsmin:hellyerite	Hellyerite	1853
gsmin:helmutwinklerite	Helmutwinklerite	1854
gsmin:helvine	Helvine	1855
gsmin:hematite	Hematite	1856
gsmin:hematolite	Hematolite	1857
gsmin:hematophanite	Hematophanite	1858
gsmin:hemihedrite	Hemihedrite	1859
gsmin:hemimorphite	Hemimorphite	1860
gsmin:hemloite	Hemloite	1861
gsmin:hemusite	Hemusite	1862
gsmin:hendersonite	Hendersonite	1863
gsmin:hendricksite	Hendricksite	1864
gsmin:heneuite	Heneuite	1865
gsmin:henmilite	Henmilite	1866
gsmin:hennomartinite	Hennomartinite	1867
gsmin:henritermierite	Henritermierite	1868
gsmin:henryite	Henryite	1998
gsmin:henrymeyerite	Henrymeyerite	7084
gsmin:hentschelite	Hentschelite	1869
gsmin:hephaistosite	Hephaistosite	31407
gsmin:herbertsmithite	Herbertsmithite	26600
gsmin:hercynite	Hercynite	1875
gsmin:herderite	Herderite	1876
gsmin:hereroite	Hereroite	42825
gsmin:hermannroseite	Hermannroseite	40135
gsmin:herzenbergite	Herzenbergite	1880
gsmin:hessite	Hessite	1881
gsmin:hetaerolite	Hetaerolite	1883
gsmin:heterogenite	Heterogenite	1885
gsmin:heteromorphite	Heteromorphite	1886
gsmin:heterosite	Heterosite	1887
gsmin:heulandite-ba	Heulandite-Ba	25719
gsmin:heulandite-ca	Heulandite-Ca	6988
gsmin:heulandite-k	Heulandite-K	6989
gsmin:heulandite-na	Heulandite-Na	6990
gsmin:heulandite-sr	Heulandite-Sr	6991
gsmin:hewettite	Hewettite	1890
gsmin:hexaferrum	Hexaferrum	6992
gsmin:hexahydrite	Hexahydrite	1891
gsmin:hexahydroborite	Hexahydroborite	1892
gsmin:hexamolybdenum	Hexamolybdenum	32286
gsmin:heyite	Heyite	1894
gsmin:heyrovskyite	Heyrovskýite	6993
gsmin:hezuolinite	Hezuolinite	41142
gsmin:hibbingite	Hibbingite	1896
gsmin:hibonite	Hibonite	1897
gsmin:hidalgoite	Hidalgoite	1899
gsmin:hielscherite	Hielscherite	41772
gsmin:hieratite	Hieratite	1900
gsmin:hilairite	Hilairite	1901
gsmin:hilarionite	Hilarionite	42410
gsmin:hilgardite	Hilgardite	1902
gsmin:hillebrandite	Hillebrandite	1904
gsmin:hillesheimite	Hillesheimite	42862
gsmin:hillite	Hillite	25585
gsmin:hingganite-y	Hingganite-(Y)	1906
gsmin:hingganite-yb	Hingganite-(Yb)	1907
gsmin:hinsdalite	Hinsdalite	1908
gsmin:hiortdahlite	Hiortdahlite	5628
gsmin:hisingerite	Hisingerite	1910
gsmin:hizenite-y	Hizenite-(Y)	42432
gsmin:hiarneite	Hiärneite	6994
gsmin:hocartite	Hocartite	1911
gsmin:hochelagaite	Hochelagaite	1912
gsmin:hodgkinsonite	Hodgkinsonite	1913
gsmin:hodrusite	Hodrušite	1914
gsmin:hoelite	Hoelite	1915
gsmin:hoganite	Hoganite	10919
gsmin:hogarthite	Hogarthite	39669
gsmin:hohmannite	Hohmannite	1918
gsmin:holdawayite	Holdawayite	1919
gsmin:holdenite	Holdenite	1920
gsmin:holfertite	Holfertite	11514
gsmin:hollandite	Hollandite	1921
gsmin:hollingworthite	Hollingworthite	1922
gsmin:holmquistite	Holmquistite	1923
gsmin:holtedahlite	Holtedahlite	1924
gsmin:holtite	Holtite	1925
gsmin:holtstamite	Holtstamite	27532
gsmin:homilite	Homilite	1926
gsmin:honessite	Honessite	1927
gsmin:hongshiite	Hongshiite	1929
gsmin:hopeite	Hopeite	1999
gsmin:horomanite	Horomanite	32665
gsmin:horvathite-y	Horváthite-(Y)	6999
gsmin:hotsonite	Hotsonite	1933
gsmin:housleyite	Housleyite	39559
gsmin:howardevansite	Howardevansite	1934
gsmin:howieite	Howieite	1935
gsmin:howlite	Howlite	1936
gsmin:hsianghualite	Hsianghualite	1937
gsmin:huanghoite-ce	Huanghoite-(Ce)	1938
gsmin:huangite	Huangite	1939
gsmin:huanzalaite	Huanzalaite	39553
gsmin:hubeite	Hubeite	8864
gsmin:huemulite	Huemulite	1941
gsmin:hughesite	Hughesite	42434
gsmin:hulsite	Hulsite	1943
gsmin:humberstonite	Humberstonite	1944
gsmin:humboldtine	Humboldtine	1946
gsmin:humite	Humite	1947
gsmin:hummerite	Hummerite	1948
gsmin:hunchunite	Hunchunite	1949
gsmin:hundholmenite-y	Hundholmenite-(Y)	29098
gsmin:hungchaoite	Hungchaoite	1950
gsmin:huntite	Huntite	1951
gsmin:hureaulite	Hureaulite	1952
gsmin:hurlbutite	Hurlbutite	1953
gsmin:hutchinsonite	Hutchinsonite	1954
gsmin:huttonite	Huttonite	1955
gsmin:hyalotekite	Hyalotekite	1961
gsmin:hydrobasaluminite	Hydrobasaluminite	1965
gsmin:hydrobiotite	Hydrobiotite	1966
gsmin:hydroboracite	Hydroboracite	1967
gsmin:hydrocalumite	Hydrocalumite	1968
gsmin:hydrocerussite	Hydrocerussite	1969
gsmin:hydrochlorborite	Hydrochlorborite	1970
gsmin:hydrodelhayelite	Hydrodelhayelite	1971
gsmin:hydrodresserite	Hydrodresserite	1972
gsmin:hydroglauberite	Hydroglauberite	1973
gsmin:hydrohalite	Hydrohalite	1975
gsmin:hydrohonessite	Hydrohonessite	1978
gsmin:hydrokenoelsmoreite	Hydrokenoelsmoreite	27428
gsmin:hydromagnesite	Hydromagnesite	1979
gsmin:hydrombobomkulite	Hydrombobomkulite	1981
gsmin:hydroniumjarosite	Hydroniumjarosite	1983
gsmin:hydroniumpharmacosiderite	Hydroniumpharmacosiderite	40152
gsmin:hydropyrochlore	Hydropyrochlore	2140
gsmin:hydroromarchite	Hydroromarchite	1985
gsmin:hydroscarbroite	Hydroscarbroite	1986
gsmin:hydrotalcite	Hydrotalcite	1987
gsmin:hydrotungstite	Hydrotungstite	1988
gsmin:hydrowoodwardite	Hydrowoodwardite	7004
gsmin:hydroxycalciopyrochlore	Hydroxycalciopyrochlore	40340
gsmin:hydroxycalcioromeite	Hydroxycalcioroméite	40366
gsmin:hydroxycancrinite	Hydroxycancrinite	1990
gsmin:hydroxykenomicrolite	Hydroxykenomicrolite	40360
gsmin:hydroxylapatite	Hydroxylapatite	1992
gsmin:hydroxylbastnasite-ce	Hydroxylbastnäsite-(Ce)	1956
gsmin:hydroxylbastnasite-nd	Hydroxylbastnäsite-(Nd)	1957
gsmin:hydroxylborite	Hydroxylborite	31567
gsmin:hydroxylchondrodite	Hydroxylchondrodite	40274
gsmin:hydroxylclinohumite	Hydroxylclinohumite	7729
gsmin:hydroxyledgrewite	Hydroxyledgrewite	42740
gsmin:hydroxylellestadite	Hydroxylellestadite	1958
gsmin:hydroxylherderite	Hydroxylherderite	1962
gsmin:hydroxylwagnerite	Hydroxylwagnerite	27459
gsmin:hydroxymanganopyrochlore	Hydroxymanganopyrochlore	42748
gsmin:hydrozincite	Hydrozincite	1993
gsmin:hylbrownite	Hylbrownite	41135
gsmin:hypercinnabar	Hypercinnabar	1994
gsmin:hyttsjoite	Hyttsjöite	7005
gsmin:haggite	Häggite	1796
gsmin:haleniusite-la	Håleniusite-(La)	25691
gsmin:hornesite	Hörnesite	1931
gsmin:hogtuvaite	Høgtuvaite	1917
gsmin:hubnerite	Hübnerite	1940
gsmin:hugelite	Hügelite	1942
gsmin:ianbruceite	Ianbruceite	42231
gsmin:iangreyite	Iangreyite	39883
gsmin:ianthinite	Ianthinite	2000
gsmin:ice	Ice	2001
gsmin:idaite	Idaite	2002
gsmin:idrialite	Idrialite	2003
gsmin:iimoriite-y	Iimoriite-(Y)	2006
gsmin:ikaite	Ikaite	2007
gsmin:ikranite	Ikranite	25686
gsmin:ikunolite	Ikunolite	2008
gsmin:ilesite	Ilesite	2009
gsmin:ilinskite	Ilinskite	7007
gsmin:illite	Illite	2011
gsmin:ilmajokite	Ilmajokite	2012
gsmin:ilmenite	Ilmenite	2013
gsmin:ilsemannite	Ilsemannite	2015
gsmin:iltisite	Iltisite	7008
gsmin:ilvaite	Ilvaite	2016
gsmin:ilimaussite-ce	Ilímaussite-(Ce)	2010
gsmin:imandrite	Imandrite	2017
gsmin:imhofite	Imhofite	2019
gsmin:imiterite	Imiterite	2020
gsmin:imogolite	Imogolite	2021
gsmin:inaglyite	Inaglyite	2022
gsmin:inderborite	Inderborite	2024
gsmin:inderite	Inderite	2025
gsmin:indialite	Indialite	2026
gsmin:indigirite	Indigirite	2028
gsmin:indite	Indite	2029
gsmin:indium	Indium	2030
gsmin:inesite	Inesite	2031
gsmin:ingersonite	Ingersonite	2032
gsmin:ingodite	Ingodite	2033
gsmin:innelite	Innelite	2034
gsmin:insizwaite	Insizwaite	2035
gsmin:intersilite	Intersilite	7111
gsmin:inyoite	Inyoite	2036
gsmin:iodargyrite	Iodargyrite	2037
gsmin:iowaite	Iowaite	2038
gsmin:iquiqueite	Iquiqueite	2039
gsmin:iranite	Iranite	2040
gsmin:iraqite-la	Iraqite-(La)	2041
gsmin:irarsite	Irarsite	2042
gsmin:irhtemite	Irhtemite	2043
gsmin:iridarsenite	Iridarsenite	2044
gsmin:iridium	Iridium	2045
gsmin:iriginite	Iriginite	2046
gsmin:irinarassite	Irinarassite	41898
gsmin:iron	Iron	2047
gsmin:irtyshite	Irtyshite	2049
gsmin:iseite	Iseite	42884
gsmin:ishikawaite	Ishikawaite	2050
gsmin:isoclasite	Isoclasite	2051
gsmin:isocubanite	Isocubanite	2052
gsmin:isoferroplatinum	Isoferroplatinum	2053
gsmin:isokite	Isokite	2054
gsmin:isolueshite	Isolueshite	7114
gsmin:isomertieite	Isomertieite	2055
gsmin:isovite	Isovite	7115
gsmin:itoigawaite	Itoigawaite	7116
gsmin:itoite	Itoite	2056
gsmin:ivanyukite-cu	Ivanyukite-Cu	32620
gsmin:ivanyukite-k	Ivanyukite-K	32619
gsmin:ivanyukite-na	Ivanyukite-Na	39653
gsmin:iwashiroite-y	Iwashiroite-(Y)	25650
gsmin:ixiolite	Ixiolite	2059
gsmin:izoklakeite	Izoklakeite	2060
gsmin:jacobsite	Jacobsite	2061
gsmin:jacquesdietrichite	Jacquesdietrichite	26449
gsmin:jacutingaite	Jacutingaite	41903
gsmin:jadarite	Jadarite	31570
gsmin:jadeite	Jadeite	2062
gsmin:jaffeite	Jaffeite	2063
gsmin:jagoite	Jagoite	2064
gsmin:jagowerite	Jagowerite	2065
gsmin:jagueite	Jagüéite	26391
gsmin:jahnsite-camnfe	Jahnsite-(CaMnFe)	2066
gsmin:jahnsite-camnmg	Jahnsite-(CaMnMg)	2067
gsmin:jahnsite-camnmn	Jahnsite-(CaMnMn)	2068
gsmin:jahnsite-mnmnmn	Jahnsite-(MnMnMn)	7118
gsmin:jahnsite-nafemg	Jahnsite-(NaFeMg)	31994
gsmin:jahnsite-namnmg	Jahnsite-(NaMnMg)	35967
gsmin:jaipurite	Jaipurite	7119
gsmin:jakobssonite	Jakobssonite	40170
gsmin:jalpaite	Jalpaite	2069
gsmin:jamborite	Jamborite	2070
gsmin:jamesite	Jamesite	2071
gsmin:jamesonite	Jamesonite	2072
gsmin:janggunite	Janggunite	2073
gsmin:janhaugite	Janhaugite	2074
gsmin:jankovicite	Jankovi?ite	2075
gsmin:jarandolite	Jarandolite	27105
gsmin:jarlite	Jarlite	2076
gsmin:jarosewichite	Jarosewichite	2077
gsmin:jarosite	Jarosite	2078
gsmin:jaskolskiite	Jaskólskiite	2079
gsmin:jasmundite	Jasmundite	2080
gsmin:jeanbandyite	Jeanbandyite	2084
gsmin:jedwabite	Jedwabite	7120
gsmin:jeffreyite	Jeffreyite	2086
gsmin:jennite	Jennite	2087
gsmin:jensenite	Jensenite	2088
gsmin:jentschite	Jentschite	5745
gsmin:jeppeite	Jeppeite	2089
gsmin:jeremejevite	Jeremejevite	2090
gsmin:jerrygibbsite	Jerrygibbsite	2092
gsmin:jervisite	Jervisite	2093
gsmin:jianshuiite	Jianshuiite	2094
gsmin:jimboite	Jimboite	2095
gsmin:jimthompsonite	Jimthompsonite	2096
gsmin:jinshajiangite	Jinshajiangite	2097
gsmin:joanneumite	Joanneumite	42755
gsmin:joaquinite-ce	Joaquinite-(Ce)	2099
gsmin:joesmithite	Joesmithite	2100
gsmin:johachidolite	Johachidolite	2101
gsmin:johannite	Johannite	2102
gsmin:johannsenite	Johannsenite	2103
gsmin:johillerite	Johillerite	2104
gsmin:johnbaumite	Johnbaumite	2105
gsmin:johninnesite	Johninnesite	2106
gsmin:johnsenite-ce	Johnsenite-(Ce)	27479
gsmin:johnsomervilleite	Johnsomervilleite	2107
gsmin:johntomaite	Johntomaite	7078
gsmin:johnwalkite	Johnwalkite	2108
gsmin:joliotite	Joliotite	2110
gsmin:jolliffeite	Jolliffeite	2111
gsmin:jonassonite	Jonassonite	27482
gsmin:jonesite	Jonesite	2112
gsmin:joosteite	Joosteite	27436
gsmin:jordanite	Jordanite	2113
gsmin:jordisite	Jordisite	2114
gsmin:joseite-a	Joséite-A	2115
gsmin:joseite-b	Joséite-B	2117
gsmin:jouravskite	Jouravskite	2118
gsmin:joelbruggerite	Joëlbruggerite	38897
gsmin:juabite	Juabite	7122
gsmin:juangodoyite	Juangodoyite	27414
gsmin:juanitaite	Juanitaite	7123
gsmin:juanite	Juanite	2119
gsmin:julgoldite-fe2	Julgoldite-(Fe<sup>2+</sup>)	2120
