s	label	def
min:phosphates-etc-with-additional-anions-without-h2o-with-only-medium-sized-cations-oh-etc-ro4-greaterthan-1-1-and-lessthan-2-1	Phosphates, etc., with additional anions, without H2O - With only medium-sized cations, (OH, etc.):RO4 > 1:1 and < 2:1	Phosphates, etc., with additional anions, without H2O - With only medium-sized cations, (OH, etc.):RO4 > 1:1 and < 2:1. Nickel-Strunz 08.BC
min:phosphates-etc-with-additional-anions-without-h2o-with-only-medium-sized-cations-oh-etc-ro4-greaterthan-2-1	Phosphates, etc., with additional anions, without H2O - With only medium-sized cations, (OH, etc.):RO4 > 2:1	Phosphates, etc., with additional anions, without H2O - With only medium-sized cations, (OH, etc.):RO4 > 2:1. Nickel-Strunz 08.BE
min:phosphates-etc-with-additional-anions-without-h2o-with-only-medium-sized-cations-oh-etc-ro4-about-1-1	Phosphates, etc., with additional anions, without H2O - With only medium-sized cations, (OH, etc.):RO4 about 1:1	Phosphates, etc., with additional anions, without H2O - With only medium-sized cations, (OH, etc.):RO4 about 1:1. Nickel-Strunz 08.BB
min:phosphates-etc-with-additional-anions-without-h2o-with-only-medium-sized-cations-oh-etc-ro4equals-2-1	Phosphates, etc., with additional anions, without H2O - With only medium-sized cations, (OH, etc.):RO4= 2:1	Phosphates, etc., with additional anions, without H2O - With only medium-sized cations, (OH, etc.):RO4= 2:1. Nickel-Strunz 08.BD
min:phosphates-etc-with-additional-anions-without-h2o-with-small-and-medium-sized-cations	Phosphates, etc., with additional anions, without H2O - With small and medium-sized cations	Phosphates, etc., with additional anions, without H2O - With small and medium-sized cations. Nickel-Strunz 08.BA
min:phosphoellenbergerite	Phosphoellenbergerite	(Mg,->>)2Mg12(PO4,PO3OH)6(PO3OH,CO3)2(OH)6 Nickel-Strunz 08.BB.55
min:phosphoferrite	Phosphoferrite	(Fe2+,Mn2+)3(PO4)2 · 3H2O Nickel-Strunz 08.CC.05
min:phosphofibrite	Phosphofibrite	(H2O,K)3.5Fe8(PO4)6(OH)7 · 5H2O Nickel-Strunz 08.DJ.20
min:phosphogartrellite	Phosphogartrellite	Pb(Cu,Fe3+)2(PO4,AsO4)2 · 2(H2O,OH) Nickel-Strunz 08.CG.20
min:phosphohedyphane	Phosphohedyphane	Ca2Pb3(PO4)3Cl Nickel-Strunz 08.BN.05
min:phosphoinnelite	Phosphoinnelite	Na3Ba4Ti3(Si2O7)2(PO4,SO4)2O2F Nickel-Strunz 09.BE.40
min:phosphophyllite	Phosphophyllite	Zn2Fe(PO4)2 · 4H2O Nickel-Strunz 08.CA.40
min:phosphorrosslerite	Phosphorrösslerite	Mg(HPO4) · 7H2O Nickel-Strunz 08.CE.20
min:phosphosiderite	Phosphosiderite	FePO4 · 2H2O Nickel-Strunz 08.CD.05
min:phosphovanadylite-ba	Phosphovanadylite-Ba	Ba[V4+4P2O8(OH)8]·12H2O Nickel-Strunz 08.DM.20
min:phosphovanadylite-ca	Phosphovanadylite-Ca	Ca[V4+4P2O12(OH)4] · 12H2O Nickel-Strunz 08.DM.20
min:phosphowalpurgite	Phosphowalpurgite	(BiO)4(UO2)(PO4)2 · 2H2O Nickel-Strunz 08.EA.05
min:phosphuranylite	Phosphuranylite	(H3O)3KCa(UO2)7(PO4)4O4 · 8H2O Nickel-Strunz 08.EC.10
min:phoxite	Phoxite	(NH4)2Mg2(C2O4)(PO3OH)2(H2O)4 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:phuralumite	Phuralumite	Al2(UO2)3(PO4)3(OH)2 · 13H2O Nickel-Strunz 08.EC.05
min:phurcalite	Phurcalite	Ca2(UO2)3(PO4)2O2 · 7H2O Nickel-Strunz 08.EC.35
min:phylloretine	Phylloretine	C18H18 Nickel-Strunz 10.BA.35
min:phyllosilicates	Phyllosilicates	Phyllosilicates. Nickel-Strunz 09.E
min:phyllosilicates-double-nets-with-4-and-6-membered-rings	Phyllosilicates - Double nets with 4- and 6-membered rings	Phyllosilicates - Double nets with 4- and 6-membered rings. Nickel-Strunz 09.EB
min:phyllosilicates-double-nets-with-6-membered-and-larger-rings	Phyllosilicates - Double nets with 6-membered and larger rings	Phyllosilicates - Double nets with 6-membered and larger rings. Nickel-Strunz 09.EG
min:phyllosilicates-phyllosilicates-with-kaolinite-layers-composed-of-tetrahedral-and-octahedral-nets	Phyllosilicates - Phyllosilicates with kaolinite layers composed of tetrahedral and octahedral nets	Phyllosilicates - Phyllosilicates with kaolinite layers composed of tetrahedral and octahedral nets. Nickel-Strunz 09.ED
min:phyllosilicates-phyllosilicates-with-mica-sheets-composed-of-tetrahedral-and-octahedral-nets	Phyllosilicates - Phyllosilicates with mica sheets, composed of tetrahedral and octahedral nets	Phyllosilicates - Phyllosilicates with mica sheets, composed of tetrahedral and octahedral nets. Nickel-Strunz 09.EC
min:phyllosilicates-single-nets-of-tetrahedra-with-4-5-6-and-8-membered-rings	Phyllosilicates - Single nets of tetrahedra with 4-, 5-, (6-), and 8-membered rings	Phyllosilicates - Single nets of tetrahedra with 4-, 5-, (6-), and 8-membered rings. Nickel-Strunz 09.EA
min:phyllosilicates-single-nets-with-6-membered-rings-connected-by-m4-m8-etc	Phyllosilicates - Single nets with 6-membered rings, connected by M[4], M[8], etc.	Phyllosilicates - Single nets with 6-membered rings, connected by M[4], M[8], etc.. Nickel-Strunz 09.EF
min:phyllosilicates-single-tetrahedral-nets-of-6-membered-rings-connected-by-octahedral-nets-or-octahedral-bands	Phyllosilicates - Single tetrahedral nets of 6-membered rings connected by octahedral nets or octahedral bands	Phyllosilicates - Single tetrahedral nets of 6-membered rings connected by octahedral nets or octahedral bands. Nickel-Strunz 09.EE
min:phyllosilicates-transitional-structures-between-phyllosilicate-and-other-silicate-units	Phyllosilicates - Transitional structures between phyllosilicate and other silicate units	Phyllosilicates - Transitional structures between phyllosilicate and other silicate units. Nickel-Strunz 09.EH
min:phyllosilicates-unclassified-phyllosilicates	Phyllosilicates - Unclassified phyllosilicates	Phyllosilicates - Unclassified phyllosilicates. Nickel-Strunz 09.EJ
min:phyllotungstite	Phyllotungstite	(H2O,M)x(W,Fe)(O,OH)3 · yH2O (M = Ca, Cs, Pb or K) Nickel-Strunz 07.GB.20
min:picaite	Picaite	NaCa[AsO3OH][AsO2(OH)2] Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:piccoliite	Piccoliite	NaCaMn3+2(AsO4)2O(OH) Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:pickeringite	Pickeringite	MgAl2(SO4)4 · 22H2O Nickel-Strunz 07.CB.85
min:picotpaulite	Picotpaulite	TlFe2S3 Nickel-Strunz 02.CB.60
min:picromerite	Picromerite	K2Mg(SO4)2 · 6H2O Nickel-Strunz 07.CC.60
min:picropharmacolite	Picropharmacolite	Ca4Mg(AsO4)2(HAsO4)2 · 11H2O Nickel-Strunz 08.CH.15
min:pieczkaite	Pieczkaite	Mn5(PO4)3Cl Nickel-Strunz 08.B0. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:piemontite	Piemontite	{Ca2}{Al2Mn3+}(Si2O7)(SiO4)O(OH) Nickel-Strunz 09.BG.05a
min:piemontite-pb	Piemontite-(Pb)	{CaPb}{Al2Mn3+}(Si2O7)(SiO4)O(OH) Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:piemontite-sr	Piemontite-(Sr)	{CaSr}{Al2Mn3+}(Si2O7)(SiO4)O(OH) Nickel-Strunz 09.BG.05
min:piergorite-ce	Piergorite-(Ce)	Ca8(Ce,Th,La,Nd)2(Al0.5,Fe3+0.5)(->>,Li,Be)2Si6B8O36(OH,F)2 Nickel-Strunz 09.DL.10
min:pierrotite	Pierrotite	Tl2(Sb,As)10S16 Nickel-Strunz 02.HC.05f
min:pigeonite	Pigeonite	(CaxMgyFez)(Mgy1Fez1)Si2O6 Nickel-Strunz 09.DA.10
min:pigotite	Pigotite	Al4C6H5O10 · 13H2O (?) Nickel-Strunz 10.AC.15
min:pilawite-y	Pilawite-(Y)	Ca2Y2Al4(SiO4)4O2(OH)2 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:pillaite	Pillaite	Pb9Sb10S23ClO0.5 Nickel-Strunz 02.JB.35c
min:pilsenite	Pilsenite	Bi4Te3 Nickel-Strunz 02.DC.05
min:pimelite	Pimelite	Ni3Si4O10(OH)2·4H2O Nickel-Strunz 09.EC.05
min:pinakiolite	Pinakiolite	(Mg,Mn2+)2Mn3+(BO3)O2 Nickel-Strunz 06.AB.35
min:pinalite	Pinalite	Pb3WO5Cl2 Nickel-Strunz 03.DC.55
min:pinchite	Pinchite	Hg2+5Cl2O4 Nickel-Strunz 03.DD.25
min:pingguite	Pingguite	Bi6Te4+2O13 Nickel-Strunz 04.JL.20
min:pinnoite	Pinnoite	Mg[B2O(OH)6] Nickel-Strunz 06.BB.05
min:pintadoite	Pintadoite	Ca2(V2O7) · 9H2O Nickel-Strunz 08.FC.15
min:piretite	Piretite	Ca(UO2)3(SeO3)2(OH)4 · 4H2O Nickel-Strunz 04.JJ.15
min:pirquitasite	Pirquitasite	Ag2ZnSnS4 Nickel-Strunz 02.CB.15a
min:pirssonite	Pirssonite	Na2Ca(CO3)2 · 2H2O Nickel-Strunz 05.CB.30
min:pitiglianoite	Pitiglianoite	Na6K2(Al6Si6O24)(SO4) · 2H2O Nickel-Strunz 09.FB.05
min:pitticite	Pitticite	(Fe, AsO4, H2O) (?) Nickel-Strunz 08.DB.05
min:pittongite	Pittongite	Na0.22(W,Fe3+)(O,OH)3 · 0.44H2O Nickel-Strunz 04.DH.45
min:piypite	Piypite	K4Cu4O2(SO4)4 · (Na,Cu)Cl Nickel-Strunz 07.BC.40
min:pizgrischite	Pizgrischite	(Cu,Fe)Cu14PbBi17S35 Nickel-Strunz 02.JA.10d
min:plagionite	Plagionite	Pb5Sb8S17 Nickel-Strunz 02.HC.10b
min:plancheite	Plancheite	Cu8(Si8O22)(OH)4 · H2O Nickel-Strunz 09.DB.35
min:planerite	Planerite	Al6(PO4)2(HPO4)2(OH)8 · 4 H2O Nickel-Strunz 08.DD.15
min:platarsite	Platarsite	PtAsS Nickel-Strunz 02.EB.25
min:platinum	Platinum	Pt Nickel-Strunz 01.AF.10
min:plattnerite	Plattnerite	PbO2 Nickel-Strunz 04.DB.05
min:plavnoite	Plavnoite	K0.8Mn0.6[(UO2)2O2(SO4)]·3.5H2O Nickel-Strunz 07.EC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:playfairite	Playfairite	Pb16(Sb,As)19S44Cl Nickel-Strunz 02.LB.30
min:plimerite	Plimerite	ZnFe3+4(PO4)3(OH)5 Nickel-Strunz 08.BC.10
min:pliniusite	Pliniusite	Ca5(VO4)3F Nickel-Strunz 08.B0. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:plombierite	Plombièrite	[Ca4Si6O16(OH)2 · 2H2O]·(Ca·5H2O) Nickel-Strunz 09.DG.08
min:plumboagardite	Plumboagardite	(Pb,REE,Ca)Cu6(AsO4)3(OH)6 · 3H2O Nickel-Strunz 08.DL.15
min:plumbobetafite	Plumbobetafite	A2-mD2X6-wZ1-n Nickel-Strunz 04.DH.15
min:plumboferrite	Plumboferrite	Pb2(Fe3+,Mn2+,Mg)11O19 Nickel-Strunz 04.CC.45
min:plumbogummite	Plumbogummite	PbAl3(PO4)(PO3OH)(OH)6 Nickel-Strunz 08.BL.10
min:plumbojarosite	Plumbojarosite	Pb0.5Fe3+3(SO4)2(OH)6 Nickel-Strunz 07.BC.10
min:plumbomicrolite	Plumbomicrolite	Plumbomicrolite. Nickel-Strunz 04.DH.15
min:plumbonacrite	Plumbonacrite	Pb5O(OH)2(CO3)3 Nickel-Strunz 05.BE.15
min:plumbopalladinite	Plumbopalladinite	Pd3Pb2 Nickel-Strunz 01.AG.25
min:plumbopharmacosiderite	Plumbopharmacosiderite	Pb0.5Fe3+4(AsO4)3(OH)4·5H2O Nickel-Strunz 08.DK. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:plumbophyllite	Plumbophyllite	Pb2Si4O10 · H2O Nickel-Strunz 09.EA.85
min:plumbopyrochlore	Plumbopyrochlore	A2Nb2(O,OH)6Z Nickel-Strunz 04.DH.15
min:plumboselite	Plumboselite	Pb3O2(SeO3) Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:plumbotellurite	Plumbotellurite	Pb(TeO3) Nickel-Strunz 04.JK.55
min:plumbotsumite	Plumbotsumite	Pb13(CO3)6(Si10O27) · 3H2O Nickel-Strunz 09.HH.20
min:plumosite	Plumosite	Pb2Sb2S5 Nickel-Strunz 02.HC.15
min:plasilite	Plášilite	Na(UO2)(SO4)(OH)·2H2O Nickel-Strunz 07.EC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:podlesnoite	Podlesnoite	BaCa2(CO3)2F2 Nickel-Strunz 05.BC.15
min:poitevinite	Poitevinite	(Cu,Fe)SO4 · H2O Nickel-Strunz 07.CB.05
min:pokrovskite	Pokrovskite	Mg2(CO3)(OH)2 Nickel-Strunz 05.BA.10
min:polarite	Polarite	Pd(Bi,Pb) Nickel-Strunz 02.AC.40
min:poldervaartite	Poldervaartite	CaCa[SiO3(OH)](OH) Nickel-Strunz 09.AF.90
min:polekhovskyite	Polekhovskyite	MoNiP2 Nickel-Strunz 01.BD. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:polezhaevaite-ce	Polezhaevaite-(Ce)	NaSrCeF6 Nickel-Strunz 03.AB.35
min:polhemusite	Polhemusite	(Zn,Hg)S Nickel-Strunz 02.CB.05c
min:polkanovite	Polkanovite	Rh12As7 Nickel-Strunz 02.AC.30
min:polkovicite	Polkovicite	(Fe,Pb)3(Ge,Fe)1-xS4 Nickel-Strunz 02.CB.35a
min:polloneite	Polloneite	AgPb46As26Sb23S120 Nickel-Strunz 02.HC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:pollucite	Pollucite	(Cs,Na)2(Al2Si4O12) · 2H2O Nickel-Strunz 09.GB.05
min:polyakovite-ce	Polyakovite-(Ce)	(Ce,Ca)4(Mg,Fe2+)(Cr3+,Fe3+)2(Ti,Nb)2(Si2O7)2O8 Nickel-Strunz 09.BE.70
min:polybasite	Polybasite	[(Ag,Cu)6(Sb,As)2S7][Ag9CuS4] Nickel-Strunz 02.GB.15
min:polycrase-y	Polycrase-(Y)	Y(Ti,Nb)2(O,OH)6 Nickel-Strunz 04.DG.05
min:polydymite	Polydymite	Ni2+Ni3+2S4 Nickel-Strunz 02.DA.05
min:polyhalite	Polyhalite	K2Ca2Mg(SO4)4 · 2H2O Nickel-Strunz 07.CC.65
min:polylithionite	Polylithionite	KLi2Al(Si4O10)(F,OH)2 Nickel-Strunz 09.EC.20
min:polyphite	Polyphite	Na5(Na4Ca2)Ti2(Si2O7)(PO4)3O2F2 Nickel-Strunz 09.BE.47
min:polyphosphates-polyarsenates-4-polyvanadates	Polyphosphates, Polyarsenates, [4]-Polyvanadates	Polyphosphates, Polyarsenates, [4]-Polyvanadates. Nickel-Strunz 08.F
min:polyphosphates-polyarsenates-4-polyvanadates-ino-4-vanadates	Polyphosphates, Polyarsenates, [4]-Polyvanadates - Ino-[4]-vanadates	Polyphosphates, Polyarsenates, [4]-Polyvanadates - Ino-[4]-vanadates. Nickel-Strunz 08.FE
min:polyphosphates-polyarsenates-4-polyvanadates-polyphosphates-etc-with-h2o-only	Polyphosphates, Polyarsenates, [4]-Polyvanadates - Polyphosphates, etc., with H2O only	Polyphosphates, Polyarsenates, [4]-Polyvanadates - Polyphosphates, etc., with H2O only. Nickel-Strunz 08.FC
min:polyphosphates-polyarsenates-4-polyvanadates-polyphosphates-etc-with-oh-and-h2o	Polyphosphates, Polyarsenates, [4]-Polyvanadates - Polyphosphates, etc., with OH and H2O	Polyphosphates, Polyarsenates, [4]-Polyvanadates - Polyphosphates, etc., with OH and H2O. Nickel-Strunz 08.FD
min:polyphosphates-polyarsenates-4-polyvanadates-polyphosphates-etc-with-oh-only	Polyphosphates, Polyarsenates, [4]-Polyvanadates - Polyphosphates, etc., with OH only	Polyphosphates, Polyarsenates, [4]-Polyvanadates - Polyphosphates, etc., with OH only. Nickel-Strunz 08.FB
min:polyphosphates-polyarsenates-4-polyvanadates-polyphosphates-etc-without-oh-and-h2o-dimers-of-corner-sharing-ro4-tetrahedra	Polyphosphates, Polyarsenates, [4]-Polyvanadates - Polyphosphates, etc., without OH and H2O; dimers of corner-sharing RO4 tetrahedra.	Polyphosphates, Polyarsenates, [4]-Polyvanadates - Polyphosphates, etc., without OH and H2O; dimers of corner-sharing RO4 tetrahedra.. Nickel-Strunz 08.FA
min:ponomarevite	Ponomarevite	K4Cu4Cl10O Nickel-Strunz 03.DA.35
min:popovite	Popovite	Cu5O2(AsO4)2 Nickel-Strunz 08.BB. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:poppiite	Poppiite	Ca2(V3+,Fe3+,Mg)(V3+,Al)2(Si2O7)(SiO4)(OH,O)2 · H2O Nickel-Strunz 09.BG.20
min:portlandite	Portlandite	Ca(OH)2 Nickel-Strunz 04.FE.05
min:posnjakite	Posnjakite	Cu4(SO4)(OH)6 · H2O Nickel-Strunz 07.DD.10
min:postite	Postite	Mg(H2O)6Al2(OH)2(H2O)8(V10O28)·13H2O Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:potarite	Potarite	PdHg Nickel-Strunz 01.AD.25
min:potassic-arfvedsonite	Potassic-arfvedsonite	[(K,Na)][Na2][Fe2+4Fe3+]Si8O22(OH)2 Nickel-Strunz 09.DE.25
min:potassic-chloro-hastingsite	Potassic-chloro-hastingsite	{K}{Ca2}{Fe2+4Fe3+}(Al2Si6O22)(Cl,OH)2 Nickel-Strunz 09.DE.15
min:potassic-chloro-pargasite	Potassic-chloro-pargasite	{K}{Ca2}{Mg4Al}(Al2Si6O22)(Cl,OH)2 Nickel-Strunz 09.DE.15
min:potassic-ferri-leakeite	Potassic-ferri-leakeite	[K][Na2][Mg2Fe3+2Li]Si8O22(OH)2 Nickel-Strunz 09.DE.25
min:potassic-ferro-chloro-edenite	Potassic-ferro-chloro-edenite	{K}{Ca2}{Fe2+5}(AlSi7O22)(Cl,OH)2 Nickel-Strunz 09.DE.15
min:potassic-ferro-ferri-sadanagaite	Potassic-ferro-ferri-sadanagaite	{K}{Ca2}{Fe2+3Fe3+2}(Al3Si5O22)(OH)2 Nickel-Strunz 09.DE.15
min:potassic-ferro-ferri-taramite	Potassic-ferro-ferri-taramite	K(CaNa)(Fe2+3Fe3+2)(Al2Si6O22)(OH)2 Nickel-Strunz 09.DE.20 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:potassic-ferro-pargasite	Potassic-ferro-pargasite	{K}{Ca2}{Fe2+4Al}(Al2Si6O22)(OH)2 Nickel-Strunz 09.DE.15
min:potassic-ferro-sadanagaite	Potassic-ferro-sadanagaite	{K}{Ca2}{Fe2+3Al2}(Al3Si5O22)(OH)2 Nickel-Strunz 09.DE.15
min:potassic-ferro-taramite	Potassic-ferro-taramite	K{CaNa}{Fe2+3Al2}{Si6Al2}O22(OH)2 Nickel-Strunz 09.DE.20 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:potassic-fluoro-hastingsite	Potassic-fluoro-hastingsite	{K}{Ca2}{Fe2+4Fe3+}(Al2Si6O22)(F,OH)2 Nickel-Strunz 09.DE.15
min:potassic-fluoro-pargasite	Potassic-fluoro-pargasite	{K}{Ca2}{Mg4Al}(Al2Si6O22)F2 Nickel-Strunz 09.DE.15
min:potassic-fluoro-richterite	Potassic-fluoro-richterite	{K}{CaNa}{Mg5}(Si8O22)(F,OH)2 Nickel-Strunz 09.DE.20
min:potassic-jeanlouisite	Potassic-jeanlouisite	K(NaCa)(Mg4Ti)Si8O22O2 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:potassic-magnesio-arfvedsonite	Potassic-magnesio-arfvedsonite	[K][Na2][Mg4Fe3+]Si8O22(OH)2 Nickel-Strunz 09.DE.25
min:potassic-magnesio-fluoro-arfvedsonite	Potassic-magnesio-fluoro-arfvedsonite	[(K,Na)][Na2][Mg4Fe3+][Si8O22][(F,OH)2] Nickel-Strunz 09.DE.25
min:potassic-magnesio-hastingsite	Potassic-magnesio-hastingsite	{K}{Ca2}{Mg4Fe3+}(Al2Si6O22)(OH)2 Nickel-Strunz 09.DE.15
min:potassic-mangani-leakeite	Potassic-mangani-leakeite	[(Na,K)][Na2][Mg2Mn3+2Li]Si8O22(OH)2 Nickel-Strunz 09.DE.25
min:potassic-pargasite	Potassic-pargasite	{K}{Ca2}{Mg4Al}(Al2Si6O22)(OH)2 Nickel-Strunz 09.DE.15
min:potassic-richterite	Potassic-richterite	{K}{CaNa}{Mg5}Si8O22(OH)2 Nickel-Strunz 09.DE.20
min:potassic-sadanagaite	Potassic-sadanagaite	{K}{Ca2}{Mg3Al2}(Al3Si5O22)(OH)2 Nickel-Strunz 09.DE.15
min:potassiccarpholite	Potassiccarpholite	(K,˜?)(Li,Mn2+)2Al4(Si2O6)2(OH,F)8 Nickel-Strunz 09.DB.05
min:potassichastingsite	Potassichastingsite	{K}{Ca2}{Fe2+4Fe3+}(Al2Si6O22)(OH)2 Nickel-Strunz 09.DE. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:potosiite	Potosíite	Pb6Sn3FeSb3S16 Nickel-Strunz 02.HF.25b
min:pottsite	Pottsite	(Pb3xBi4-2x)(VO4)4·H2O (0.8 < x < 1.0) Nickel-Strunz 08.CG.25
min:poubaite	Poubaite	PbBi2(Se,Te,S)4 Nickel-Strunz 02.GC.40c
min:poudretteite	Poudretteite	KNa2B3Si12O30 Nickel-Strunz 09.CM.05
min:poughite	Poughite	Fe3+2(TeO3)2(SO4)(H2O)2 · H2O Nickel-Strunz 04.JN.10
min:povondraite	Povondraite	NaFe3+3(Mg2Fe3+4)(Si6O18)(BO3)3(OH)3O Nickel-Strunz 09.CK.05
min:powellite	Powellite	Ca(MoO4) Nickel-Strunz 07.GA.05
min:poyarkovite	Poyarkovite	(Hg2+2)3Cl2O2 Nickel-Strunz 03.DD.10
min:pracharite	Pracha?ite	CaSb5+2(As3+2O5)2O2·10H2O Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:pradetite	Pradetite	CoCu4(AsO4)2(HAsO4)2 · 9H2O Nickel-Strunz 08.CE.30
min:prassoite	Prassoite	Rh17S15 Nickel-Strunz 02.00.00
min:prehnite	Prehnite	Ca2Al2Si3O10(OH)2 Nickel-Strunz 09.DP.20
min:preisingerite	Preisingerite	Bi3(AsO4)2O(OH) Nickel-Strunz 08.BO.10
min:preiswerkite	Preiswerkite	NaMg2Al(Al2Si2O10)(OH)2 Nickel-Strunz 09.EC.20
min:preobrazhenskite	Preobrazhenskite	Mg3B11O15(OH)9 Nickel-Strunz 06.GB.15
min:pretulite	Pretulite	Sc(PO4) Nickel-Strunz 08.AD.35
min:prewittite	Prewittite	KPb1.5ZnCu6(SeO3)2O2Cl10 Nickel-Strunz 04.JG.
min:priceite	Priceite	Ca2B5O7(OH)5 · H2O Nickel-Strunz 06.EB.25
min:priderite	Priderite	K(Ti4+7Fe3+)O16 Nickel-Strunz 04.DK.05b
min:pringleite	Pringleite	Ca9B26O34(OH)24Cl4 · 13H2O Nickel-Strunz 06.GD.05
min:prismatine	Prismatine	(->>,Fe,Mg)(Mg,Al,Fe)5Al4Si2(Si,Al)2(B,Si,Al)(O,OH,F)22 Nickel-Strunz 09.BJ.50
min:probertite	Probertite	NaCaB5O7(OH)4 · 3H2O Nickel-Strunz 06.EB.15
min:proshchenkoite-y	Proshchenkoite-(Y)	Ca(Y,REE,Ca,Na,Mn)15Fe2+(P,Si)Si6B3O34F14 Nickel-Strunz 09.AJ.35
min:prosopite	Prosopite	CaAl2F4[(OH)4-xFx], x = 0.0 1.0 Nickel-Strunz 03.CD.10
min:prosperite	Prosperite	Ca2Zn4(AsO4)4 · H2O Nickel-Strunz 08.CA.60
min:protasite	Protasite	Ba(UO2)3O3(OH)2 · 3H2O Nickel-Strunz 04.GB.10
min:proto-anthophyllite	Proto-anthophyllite	˜?{Mg2}{Mg5}(Si8O22)(OH)2 Nickel-Strunz 09.DD.05
min:proto-ferro-anthophyllite	Proto-ferro-anthophyllite	˜?{Fe2+2}{Fe2+5}(Si8O22)(OH)2 Nickel-Strunz 09.DD. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:proto-ferro-suenoite	Proto-ferro-suenoite	˜?{Mn2+2}{Fe2+5}(Si8O22)(OH)2 Nickel-Strunz 09.DD.05
min:protochabourneite	Protochabournéite	Tl2Pb(Sb,As)10S17 Nickel-Strunz 02.HC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:protoenstatite	Protoenstatite	Mg2Si2O6 Nickel-Strunz 09.DA.
min:protojoseite	Protojoséite	Bi3(Te,S)2 Nickel-Strunz 02.DC.05
min:proudite	Proudite	CuPb7.5Bi9.33(S,Se)22 Nickel-Strunz 02.JB.25d
min:proustite	Proustite	Ag3AsS3 Nickel-Strunz 02.GA.05
min:proxidecagonite	Proxidecagonite	Al34Ni9Fe2 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:przhevalskite	Przhevalskite	Pb2(UO2)3(PO4)2(OH)4 · 3H2O Nickel-Strunz 08.EB.10
min:pseudo-autunite	Pseudo-autunite	(H3O)4Ca2(UO2)2(PO4)4 · 5H2O Nickel-Strunz 08.00.00
min:pseudoboleite	Pseudoboleite	Pb31Cu24Cl62(OH)48 Nickel-Strunz 03.DB.10
min:pseudobrookite	Pseudobrookite	Fe2TiO5 Nickel-Strunz 04.CB.15
min:pseudocotunnite	Pseudocotunnite	K2PbCl4 Nickel-Strunz 03.DC.90
min:pseudograndreefite	Pseudograndreefite	Pb6(SO4)F10 Nickel-Strunz 07.BD.65
min:pseudojohannite	Pseudojohannite	Cu3(OH)2[(UO2)4(SO4)2]· 12H2O Nickel-Strunz 07.EC.20
min:pseudolaueite	Pseudolaueite	Mn2+Fe3+2(PO4)2(OH)2 · 8H2O Nickel-Strunz 08.DC.30
min:pseudolyonsite	Pseudolyonsite	Cu3(VO4)2 Nickel-Strunz 08.AB.35
min:pseudomalachite	Pseudomalachite	Cu5(PO4)2(OH)4 Nickel-Strunz 08.BD.05
min:pseudomarkeyite	Pseudomarkeyite	Ca8(UO2)4(CO3)12·21H2O Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:pseudorutile	Pseudorutile	Fe2Ti3O9 Nickel-Strunz 04.CB.25
min:pseudosinhalite	Pseudosinhalite	Mg2Al3(BO3)2(OH)O3 Nickel-Strunz 06.AC.10
min:pseudowollastonite	Pseudowollastonite	CaSiO3 Nickel-Strunz 09.CA.20
min:psilomelane	Psilomelane	Ba.(H2O)Mn3+5O10 Nickel-Strunz 04.00.00
min:pucherite	Pucherite	Bi(VO4) Nickel-Strunz 08.AD.40
min:pumpellyite-al	Pumpellyite-(Al)	Ca2Al3(Si2O7)(SiO4)(OH,O)2 · H2O Nickel-Strunz 09.BG.20
min:pumpellyite-fe2plus	Pumpellyite-(Fe2+)	Ca2Fe2+Al2(Si2O7)(SiO4)(OH)2 · H2O Nickel-Strunz 09.BG.20
