s	label	def
min:ameghinite	Ameghinite	Na(H4B3O7) Nickel-Strunz 06.CA.10
min:amesite	Amesite	Mg2Al(AlSiO5)(OH)4 Nickel-Strunz 09.ED.15
min:amicite	Amicite	K2Na2Al4Si4O16 · 5H2O Nickel-Strunz 09.GC.05
min:aminoffite	Aminoffite	Ca2(Be,Al)(Si2O7)(H2O,OH) Nickel-Strunz 09.BH.05
min:ammineite	Ammineite	[CuCl2(NH3)2] Nickel-Strunz 03.C0.
min:ammonioalunite	Ammonioalunite	(NH4)Al3(SO4)2(OH)6 Nickel-Strunz 07.BC.10
min:ammonioborite	Ammonioborite	(NH4)2[B5O6(OH)4]2 · H2O Nickel-Strunz 06.EA.15
min:ammoniojarosite	Ammoniojarosite	(NH4)Fe3+3(SO4)2(OH)6 Nickel-Strunz 07.BC.10
min:ammoniolasalite	Ammoniolasalite	(NH4)2Mg2(H2O)20] [V10O28] Nickel-Strunz 04.HC.
min:ammonioleucite	Ammonioleucite	(NH4,K)(AlSi2O6) Nickel-Strunz 09.GB.05
min:ammoniomagnesiovoltaite	Ammoniomagnesiovoltaite	(NH4)2Mg2+5Fe3+3Al(SO4)12 · 18H2O Nickel-Strunz 07.CC.25
min:ammoniomathesiusite	Ammoniomathesiusite	(NH4)5(UO2)4(SO4)4(VO5)·4H2O Nickel-Strunz 07.DF.
min:ammoniovoltaite	Ammoniovoltaite	(NH4)2Fe2+5Fe3+3Al(SO4)12(H2O)18 Nickel-Strunz 07.CC.
min:ammoniozippeite	Ammoniozippeite	(NH4)2[(UO2)2(SO4)O2]·H2O Nickel-Strunz 07.EC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:amphibole	Amphibole	Amphibole. Nickel-Strunz 09.DD_gsq09.DE Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:amstallite	Amstallite	CaAl(Si,Al)4O8(OH)4 · (H2O,Cl) Nickel-Strunz 09.DP.25
min:analcime	Analcime	Na(AlSi2O6) · H2O Nickel-Strunz 09.GB.05
min:anandite	Anandite	(Ba,K)(Fe2+,Mg)3((Si,Al,Fe)4O10)(S,OH)2 Nickel-Strunz 09.EC.35
min:anapaite	Anapaite	Ca2Fe2+(PO4)2 · 4H2O Nickel-Strunz 08.CH.10
min:anatase	Anatase	TiO2 Nickel-Strunz 04.DD.05
min:anatolyite	Anatolyite	Na6(Ca,Na)(Mg,Fe3+)3Al(AsO4)6 Nickel-Strunz 08.00. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ancylite-ce	Ancylite-(Ce)	CeSr(CO3)2(OH) · H2O Nickel-Strunz 05.DC.05
min:ancylite-la	Ancylite-(La)	LaSr(CO3)2(OH) · H2O Nickel-Strunz 05.DC.05
min:andalusite	Andalusite	Al2(SiO4)O Nickel-Strunz 09.AF.10
min:andersonite	Andersonite	Na2Ca(UO2)(CO3)3 · 6H2O Nickel-Strunz 05.ED.30
min:andesine	Andesine	(Na,Ca)[Al(Si,Al)Si2O8] Nickel-Strunz 09.FA.35
min:andorite-iv	Andorite IV	Pb18Ag15Sb47S96 Nickel-Strunz 02.JB.40a
min:andorite-vi	Andorite VI	AgPbSb3S6 Nickel-Strunz 02.JB.
min:andradite	Andradite	Ca3Fe3+2(SiO4)3 Nickel-Strunz 09.AD.25
min:andreadiniite	Andreadiniite	CuHgAg7Pb7Sb24S48 Nickel-Strunz 02.JB. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:andreyivanovite	Andreyivanovite	FeCrP Nickel-Strunz 01.BD.15
