label	s	strunz
Ansermetite	gcmin:ansermetite	04.HD.30
Antarcticite	gcmin:antarcticite	03.BB.30
Anthoinite	gcmin:anthoinite	07.GB.35
Anthonyite	gcmin:anthonyite	03.DA.40
Anthophyllite	gcmin:anthophyllite	09.DE.05
Anthophyllite Root Name Group	<https://w3id.org/geochem/1.0/min/grouplexicon/43520>	
Antigorite	gcmin:antigorite	09.ED.15
Antimonselite	gcmin:antimonselite	02.DB.05
Antimony	gcmin:antimony	01.CA.05
Antipinite	gcmin:antipinite	10
Antlerite	gcmin:antlerite	07.BB.15
Antofagastaite	gcmin:antofagastaite	07.CD.35
Anyuiite	gcmin:anyuiite	01.AA.15
Anzaite-(Ce)	gcmin:anzaite-ce	04.CC
Apachite	gcmin:apachite	09.HE.10
Apatite	gcmin:apatite	
Apatite	<https://w3id.org/geochem/1.0/min/grouplexicon/29229>	
Apatite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/32275>	
Apatite Supergroup	<https://w3id.org/geochem/1.0/min/grouplexicon/274>	
Aphthitalite	gcmin:aphthitalite	07.AC.35
Aphthitalite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/55731>	
Apjohnite	gcmin:apjohnite	07.CB.85
Aplowite	gcmin:aplowite	07.CB.15
Apophyllite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/283>	09.EA
Apuanite	gcmin:apuanite	04.JA.25
Aqualite	gcmin:aqualite	09.CO.10
Aradite	gcmin:aradite	08.BN
Aragonite	gcmin:aragonite	05.AB.15
Aragonite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/29269>	
Arakiite	gcmin:arakiite	08.BE.45
Aramayoite	gcmin:aramayoite	02.HA.25
Arangasite	gcmin:arangasite	08.DB
Arapovite	gcmin:arapovite	09.CH.10
Aravaipaite	gcmin:aravaipaite	03.DC.35
Arcanite	gcmin:arcanite	07.AD.05
Archerite	gcmin:archerite	08.AD.15
Arctite	gcmin:arctite	08.BN.10
Arctite Group 	<https://w3id.org/geochem/1.0/min/grouplexicon/55634>	
Arctite Supergroup	<https://w3id.org/geochem/1.0/min/grouplexicon/53194>	
Arcubisite	gcmin:arcubisite	02.LA.40
Ardaite	gcmin:ardaite	02.LB.30
Ardealite	gcmin:ardealite	08.CJ.50
Ardennite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/46923>	
Ardennite-(As)	gcmin:ardennite-as	09.BJ.40
Ardennite-(Si)	gcmin:ardennite-si	
Ardennite-(V)	gcmin:ardennite-v	09.BJ.40
Arfvedsonite	gcmin:arfvedsonite	09.DE.25
Arfvedsonite Root Name Group	<https://w3id.org/geochem/1.0/min/grouplexicon/8603>	
Argandite	gcmin:argandite	08.BE.30
Argentobaumhauerite	gcmin:argentobaumhauerite	02.HC.05b
Argentojarosite	gcmin:argentojarosite	07.BC.10
Argentopearceite	gcmin:argentopearceite	02.GB
Argentopentlandite	gcmin:argentopentlandite	02.BB.15
Argentopyrite	gcmin:argentopyrite	02.CB.65
Argentotennantite	gcmin:argentotennantite	02.GB.05
Argentotetrahedrite	gcmin:argentotetrahedrite	02.GB
Argentotetrahedrite-(Fe)	gcmin:argentotetrahedrite-fe	02.GB.05
Argentotetrahedrite-(Hg)	gcmin:argentotetrahedrite-hg	02.GB
Argentotetrahedrite-(Zn)	gcmin:argentotetrahedrite-zn	02.GB
Argesite	gcmin:argesite	07.CD
Argutite	gcmin:argutite	04.DB.05
Argyrodite	gcmin:argyrodite	02.BA.70
Argyrodite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/32575>	
Arhbarite	gcmin:arhbarite	08.BE.25
Ariegilatite	gcmin:ariegilatite	08.BO
Arisite-(Ce)	gcmin:arisite-ce	05.BD.18
Arisite-(La)	gcmin:arisite-la	05.BD.18
Aristarainite	gcmin:aristarainite	06.FB.05
Armalcolite	gcmin:armalcolite	04.CB.15
Armangite	gcmin:armangite	04.JB.20
Armbrusterite	gcmin:armbrusterite	09.EG.65
Armenite	gcmin:armenite	09.CM.05
Armstrongite	gcmin:armstrongite	09.EA.35
Arrojadite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/28960>	
Arrojadite-(BaNa)	gcmin:arrojadite-bana	08.BF.05
Arrojadite-(KFe)	gcmin:arrojadite-kfe	08.BF.05
Arrojadite-(KNa)	gcmin:arrojadite-kna	08.BF.05
Arrojadite-(PbFe)	gcmin:arrojadite-pbfe	08.BF.05
Arrojadite-(SrFe)	gcmin:arrojadite-srfe	08.BF.05
Arsenbrackebuschite	gcmin:arsenbrackebuschite	08.BG.05
Arsendescloizite	gcmin:arsendescloizite	08.BH.35
Arsenic	gcmin:arsenic	01.CA.05
Arsenic Group	<https://w3id.org/geochem/1.0/min/grouplexicon/29270>	
Arsenic group element	strunz:s01_CA	
Arseniopleite	gcmin:arseniopleite	08.AC.10
Arseniosiderite	gcmin:arseniosiderite	08.DH.30
"Arsenite, antimonite, bismuthite, sulfite, selenite, tellurite or iodate"	strunz:s04_J	
"Arsenite, antimonite, bismuthite; with additional anions and H2O"	strunz:s04_JD	
"Arsenite, antimonite, bismuthite; with additional anions, without H2O"	strunz:s04_JB	
"Arsenite, antimonite, bismuthite; without additional anions, with H2O"	strunz:s04_JC	
"Arsenite, antimonite, bismuthite; without additional anions, without H2O"	strunz:s04_JA	
